cvegeo,intralinks,size,grado,fuerza,longitude,latitude
1512100012297,"",11,25,37,-99.25924258498718,19.643181515247658
1512200010438,"",22,13,22,-98.93171408019866,19.296550945166807
0900200010699,8.0,100,39,56,-99.18019329005676,19.468693645105077
0900300011641,16.0,164,122,218,-99.16636481004392,19.304979715170518
0900300011675,25.0,194,55,74,-99.12975050022963,19.312107100024598
0900300011694,1.0,44,9,11,-99.12596377541466,19.306134550013702
0900400010373,117.0,782,282,1199,-99.27237831495378,19.349166710581414
0900500011152,52.0,139,127,265,-99.1042623645616,19.491970352463547
0900600010522,29.0,137,82,152,-99.07249641456835,19.389151245059686
0900700012687,15.0,163,117,172,-99.0823726947757,19.346329057991007
0900700015681,43.0,281,341,524,-99.03161898033028,19.36551272498985
0901000010703,70.0,147,82,153,-99.21122465487997,19.36757532974115
0901000011222,15.0,203,156,212,-99.20585860011087,19.33854129010178
0901000011542,74.0,299,144,313,-99.25957376475105,19.369060545011095
0901100011446,30.0,167,155,347,-99.03320584498735,19.28496885085976
0901100241408,"",7,2,2,-98.97750455103629,19.219665234242903
0901500010822,18.0,294,127,150,-99.16905797005157,19.43144744518231
0901500011341,88.0,251,78,129,-99.16977581448654,19.408888044679998
0901600010389,119.0,210,92,298,-99.19788119966952,19.446782795178812
1301300010148,"",3,0,0,-99.22418917975526,20.005534911408912
1305100831984,0.0,0,0,0,-98.70340251043021,20.026145348505047
1501300010999,25.0,158,60,115,-99.25298131529131,19.57547063467185
1502500131998,"",6,6,10,-98.85519304921849,19.301270074217676
1502500171593,"",5,4,10,-98.81099995474818,19.2287559847957
1503300010188,29.0,226,151,259,-99.03288437527748,19.58788821537901
1503300010760,130.0,282,167,361,-99.03344980479963,19.52546913483455
1503300012517,"",14,23,26,-99.01686339013968,19.60529049512973
1503700230666,159.0,161,115,585,-99.34146664498235,19.34910082026059
1503700710740,51.0,596,176,290,-99.28619342900242,19.426797502169148
1503900010213,1.0,32,58,88,-98.93072193010914,19.308392784846276
1503900011387,"",15,6,6,-98.91146919030513,19.33284863482446
1503900011461,6.0,41,37,85,-98.87543830517549,19.32345158472424
1505700012114,20.0,166,98,218,-99.27748862965794,19.506617799533842
1505800011429,50.0,207,88,158,-98.98507315976703,19.371990660109546
1507000391245,4.0,75,63,125,-98.9428495045675,19.3601366197433
1508100190556,3.0,194,191,270,-99.019927110199,19.644799184989107
1508100190683,"",18,10,12,-98.98639482785725,19.68473548525394
1509000370076,"",7,9,10,-99.5760710941919,19.03708934053902
1509500010180,"",8,19,25,-99.2014368947318,19.72224281019514
1509500010227,"",15,17,20,-99.22283241484544,19.724933745248716
1509900471544,0.0,0,0,0,-98.9100165449764,19.527722004721383
1510100140211,"",2,1,1,-99.4960798900122,19.203138382299883
1510400011527,31.0,142,69,111,-99.21461954004354,19.564384430355112
1510900251307,"",15,7,8,-99.07157722501621,19.666059414916493
